,user,text,favorite_count,retweet_count,created_at
79,elonmusk,@teslaownersSV @chicago_glenn @Twitter Seems that way @Twitter @paraga,2642,159,2022-09-21 03:05:09+00:00
80,elonmusk,@chicago_glenn .@Twitter what’s going on?,1491,109,2022-09-21 02:58:45+00:00
81,elonmusk,@TrungTPhan @McDonalds Such miracles are impossible,8092,267,2022-09-21 02:57:41+00:00
82,elonmusk,@ruffpast @stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks That’s a real picture?,1994,66,2022-09-21 02:50:11+00:00
83,elonmusk,@stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks Absolutely,2285,86,2022-09-21 02:49:36+00:00
84,elonmusk,"@jhall @RBReich Unsurprisingly, Reich is also a hypocrite",2391,135,2022-09-21 02:46:23+00:00
85,elonmusk,@teslaownersSV @RBReich Reich is suicidally boring,12528,650,2022-09-21 02:41:37+00:00
86,elonmusk,@TrungTPhan 🤣,44322,1044,2022-09-21 02:39:19+00:00
87,elonmusk,@RBReich You both an idiot and a liar,55629,5003,2022-09-21 02:36:34+00:00
88,elonmusk,@BillyM2k 🤣,8050,285,2022-09-21 01:26:56+00:00
89,elonmusk,@ajtourville @parag @Twitter Curiouser and curiouser …,10176,453,2022-09-21 01:26:11+00:00
90,elonmusk,@BillyM2k @Austen Same,4613,210,2022-09-20 16:42:31+00:00
91,elonmusk,@BLKMDL3 @teslascope @johnkrausphotos Yes,1962,84,2022-09-20 13:03:48+00:00
92,elonmusk,"@ToscaMusk @kimbal Happy birthday bro, love you",15324,535,2022-09-20 12:50:21+00:00
93,elonmusk,"@teslascope @johnkrausphotos Yes, all US &amp; Canada cars with safety scores above 80 should receive an invitation to download FSD Beta by tomorrow",3401,327,2022-09-20 05:12:15+00:00
94,elonmusk,"@teslaownersSV @johnkrausphotos Note, Autopilot/AI team is also working on Optimus and (actually smart) summon/autopark, which have end of month deadlines",5932,530,2022-09-20 05:09:15+00:00
95,elonmusk,@teslaownersSV @johnkrausphotos Next month,2978,135,2022-09-20 05:07:23+00:00
96,elonmusk,@johnkrausphotos Yes,2507,64,2022-09-20 05:04:08+00:00
97,elonmusk,@agusantonetti @erfan_kasraie Ok,12658,1222,2022-09-20 02:39:18+00:00
98,elonmusk,@erfan_kasraie Starlink will ask for an exemption to Iranian sanctions in this regard,56745,13267,2022-09-19 22:25:02+00:00
99,elonmusk,@JitoKayumba @SpaceX Looking forward to providing Starlink service to the people of Zambia!,28464,2732,2022-09-19 22:23:17+00:00
100,elonmusk,@chazman @aelluswamy Car will move on tighter gaps as we enhance NN velocity predictions for crossing traffic. 10.69.3 next month has some step-change improvements.,7105,373,2022-09-19 22:04:59+00:00
101,elonmusk,*10.69.2.2,29713,1035,2022-09-19 21:57:54+00:00
102,elonmusk,"FSD Beta 10.69.2.1 looks good, extending to 160k owners in US &amp; Canada",46056,3576,2022-09-19 20:57:53+00:00
103,elonmusk,@MuskUniversity Profoundly important concept,7796,343,2022-09-19 20:55:46+00:00
104,elonmusk,"Baltasar Gracián, Oráculo Manual y Arte de Prudencia",35997,3192,2022-09-19 19:33:52+00:00
105,elonmusk,Great for clearing dust!,60747,2731,2022-09-19 18:56:02+00:00
106,elonmusk,"@Erdayastronaut @NASASpaceflight Booster 7 now returns to high bay for robustness upgrades &amp; booster 8 moves to pad for testing.

Next big test is probably full stack wet dress rehearsal, then 33 engine firing in a few weeks.",11161,938,2022-09-19 18:53:02+00:00
107,elonmusk,7 engine static fire https://t.co/sOm8Jx8rJq,139057,10754,2022-09-19 18:30:43+00:00
108,elonmusk,@NASASpaceflight Chamber pressure looked good on all 7 engines,17604,771,2022-09-19 18:00:22+00:00
109,elonmusk,"@SciGuySpace Yes, seven engine static fire",10182,539,2022-09-19 17:14:34+00:00
110,elonmusk,@RonMadison11 @CathieDWood @federalreserve There is too much latency in Fed decisions. Problematic in a fast-changing world.,3639,302,2022-09-19 17:13:42+00:00
111,elonmusk,@PopMech Tunnels ftw,7724,346,2022-09-19 16:28:12+00:00
112,elonmusk,"@CathieDWood Yes, the fundamental error is reasoning by analogy, rather than first principles",13502,1024,2022-09-19 15:16:05+00:00
113,elonmusk,"starry, starry night 
paint your palette
blue and gray https://t.co/iUm9pzfDGc",210680,15620,2022-09-19 06:30:06+00:00
114,elonmusk,"Starlink is now active on all continents, including Antarctica 
https://t.co/Q1VvqV5G0i",119358,13316,2022-09-19 03:26:40+00:00
115,elonmusk,@SpaceX Another batch with lasers reaches orbit,37419,1482,2022-09-19 02:59:33+00:00
116,elonmusk,@PPathole @NewsfromScience @ScienceVisuals True,3276,170,2022-09-18 17:24:03+00:00
117,elonmusk,"@NewsfromScience @ScienceVisuals Starship will be an incredible enabler for science. Full reusability &amp; high production rate drive several orders of magnitude improvement in $/kg to orbit &amp; beyond.

Next gen Starlink constellation is primary user of this rocket, so science doesn’t need to cover fixed cost.",17737,1398,2022-09-18 16:43:12+00:00
118,elonmusk,"@Kristennetten Should be Alexander, the Greatest. After all, is there a better Alexander?",5654,242,2022-09-18 03:52:29+00:00
119,elonmusk,@cb_doge 🤣,1787,78,2022-09-18 03:50:22+00:00
120,elonmusk,https://t.co/VDcpkjm56j,261794,22225,2022-09-18 03:16:21+00:00
121,elonmusk,@erikbryn @ericschmidt @CondoleezzaRice @scsp_ai @Ukraine Hyperloop could do that trip in less than half an hour,4067,271,2022-09-17 22:16:08+00:00
